Company_Name,Registered_Office_Address,Corporate_Office_Address,Primary_Address
Happy Forgings Limited,"BXXIX-2254/1, Kanganwal Road, P.O. Jugiana, Ludhiana-141120","Happy Forgings Ltd., H.B. No. 220, P.O. Rajgarh, Village Dugri, Ludhiana-141421","Happy Forgings Ltd., H.B. No. 220, P.O. Rajgarh, Village Dugri, Ludhiana-141421"
Havells India Limited,"904, 9th Floor, Surya Kiran Building, KG Marg, Connaught Place, New Delhi – 110001","QRG Towers, 2D, Sector – 126, Expressway, Noida – 201304","QRG Towers, 2D, Sector – 126, Expressway, Noida – 201304"
HCL Technologies Limited,"806, Siddharth, 96, Nehru Place, New Delhi - 110019, India","Technology Hub, Special Economic Zone, Plot No. 3A, Sector 126, Noida - 201304, U.P., India","Technology Hub, Special Economic Zone, Plot No. 3A, Sector 126, Noida - 201304, U.P., India"
HDFC Asset Management Company Limited,"HDFC House, 2nd Floor, H.T. Parekh Marg, 165-166, Backbay Reclamation, Churchgate, Mumbai – 400 020","HDFC House, 2nd Floor, H.T. Parekh Marg, 165-166, Backbay Reclamation, Churchgate, Mumbai – 400 020","HDFC House, 2nd Floor, H.T. Parekh Marg, 165-166, Backbay Reclamation, Churchgate, Mumbai – 400 020"
HDFC Bank Limited,"HDFC Bank House, Senapati Bapat Marg, Lower Parel, Mumbai - 400 013","HDFC Bank House, Shiv Sagar Estate, Dr Annie Besant Road, Worli, Mumbai - 400 018","HDFC Bank House, Shiv Sagar Estate, Dr Annie Besant Road, Worli, Mumbai - 400 018"
HDFC Life Insurance Company Limited,"13th Floor, Lodha Excelus, Apollo Mills Compound, N.M Joshi Marg, Mahalaxmi, Mumbai- 400 011","12th, 13th and 14th Floor, Lodha Excelus, Apollo Mills Compound, N.M Joshi Marg, Mahalaxmi, Mumbai- 400 011","12th, 13th and 14th Floor, Lodha Excelus, Apollo Mills Compound, N.M Joshi Marg, Mahalaxmi, Mumbai- 400 011"
HEG Limited,"Mandideep, Near Bhopal Dist. Raisen MP- 462046","Bhilwara Towers, A-12, Sector-1, Noida - 201301","Bhilwara Towers, A-12, Sector-1, Noida - 201301"
HERO MOTOCORP LIMITED,"THE GRAND PLAZA, PLOT NO. 2 NELSON MANDELA ROAD, VASANT KUNJ - PHASE - II, NEW DELHI - 110070","THE GRAND PLAZA, PLOT NO. 2 NELSON MANDELA ROAD, VASANT KUNJ - PHASE - II, NEW DELHI - 110070","THE GRAND PLAZA, PLOT NO. 2 NELSON MANDELA ROAD, VASANT KUNJ - PHASE - II, NEW DELHI - 110070"
HFCL Limited,"8, Electronics Complex, Chambaghat, Solan - 173213, Himachal Pradesh","8, Commercial Complex, Masjid Moth, Greater Kailash- II, New Delhi-110 048","8, Commercial Complex, Masjid Moth, Greater Kailash- II, New Delhi-110 048"
Himadri Speciality Chemical Limited,"23-A, Netaji Subhas Road, 8th Floor, Suite No. 15, Kolkata – 700001","8, India Exchange Place, 2nd Floor, Kolkata -700001","8, India Exchange Place, 2nd Floor, Kolkata -700001"
HINDALCO INDUSTRIES LIMITED,"21st Floor, One International Center, Tower 4, Near Prabhadevi Railway Station, Senapati Bapat Marg, Prabhadevi, Mumbai, Maharashtra- 400013. India w.e.f. Dec 1, 2023","7th Floor, Birla Centurion, Pandurang Budhkar Marg, Worli, Mumbai – 400030, India","7th Floor, Birla Centurion, Pandurang Budhkar Marg, Worli, Mumbai – 400030, India"
HINDUSTAN AERONAUTICS LIMITED,"15/1, CUBBON ROAD, BANGALURU - 560001","15/1, CUBBON ROAD, BANGALURU - 560001","15/1, CUBBON ROAD, BANGALURU - 560001"
HINDUSTAN COPPER LIMITED,"‘Tamra Bhavan’ 1, Ashutosh Chowdhury Avenue, Kolkata – 700019, West Bengal, India","‘Tamra Bhavan’ 1, Ashutosh Chowdhury Avenue, Kolkata – 700019, West Bengal, India","‘Tamra Bhavan’ 1, Ashutosh Chowdhury Avenue, Kolkata – 700019, West Bengal, India"
Hindustan Petroleum Corporation Limited,"Petroleum House, 17, Jamshedji Tata Road, Churchgate, Mumbai
400020",Same as above,Same as above
Hindustan Unilever Limited,"Unilever House, B. D. Sawant Marg, Chakala, Andheri (East),Mumbai-400099","Unilever House, B. D. Sawant Marg, Chakala, Andheri (East),Mumbai-400099","Unilever House, B. D. Sawant Marg, Chakala, Andheri (East),Mumbai-400099"
Hindustan Zinc Limited,"Yashad Bhavan, Udaipur, Rajasthan 313004 - India","Yashad Bhavan, Udaipur, Rajasthan 313004 - India","Yashad Bhavan, Udaipur, Rajasthan 313004 - India"
Hitachi Energy India Limited,"8th Floor, Brigade Opus, 70/401, Kodigehalli Main Road, Bengaluru - 560092","8th Floor, Brigade Opus, 70/401, Kodigehalli Main Road, Bengaluru - 560092","8th Floor, Brigade Opus, 70/401, Kodigehalli Main Road, Bengaluru - 560092"
Home First Finance Company India Limited,"511, Acme Plaza, Andheri Kurla Road,
Mumbai – 400059",same as above,same as above
Honasa Consumer Limited,"Unit No. 404, 4th Floor, City Centre,
Plot No. 05, Sector – 12, Dwarka, New Delhi – 110075","10th and 11th Floor, Capital Cyberscape
Ullahwas, Bhondsi, Gurgaon, Haryana – 122102","10th and 11th Floor, Capital Cyberscape
Ullahwas, Bhondsi, Gurgaon, Haryana – 122102"
HONEYWELL AUTOMATION INDIA LIMITED,"56 & 57, HADAPSAR INDUSTRIALESTATE PUNE - 411 013., PUNE, Maharashtra, India, 411013","56 & 57, HADAPSAR INDUSTRIALESTATE PUNE - 411 013., PUNE, Maharashtra, India, 411013","56 & 57, HADAPSAR INDUSTRIALESTATE PUNE - 411 013., PUNE, Maharashtra, India, 411013"
ICICI Bank Limited,"ICICI Bank Tower, Near Chakli Circle, Old Padra Road, Vadodara, Gujarat 390007","ICICI Bank Towers, Bandra-Kurla Complex, Mumbai 400051","ICICI Bank Towers, Bandra-Kurla Complex, Mumbai 400051"
ICICI Lombard General Insurance Company Limited,"ICICI Lombard General Insurance Company Limited, ICICI Lombard House, 414, Veer Savarkar Marg, Near Siddhi Vinayak Temple, Prabhadevi, Mumbai - 400 025","ICICI Lombard General Insurance Company Limited, ICICI Lombard House, 414, Veer Savarkar Marg, Near Siddhi Vinayak Temple, Prabhadevi, Mumbai - 400 025","ICICI Lombard General Insurance Company Limited, ICICI Lombard House, 414, Veer Savarkar Marg, Near Siddhi Vinayak Temple, Prabhadevi, Mumbai - 400 025"
ICICI Prudential Life Insurance Company Limited,"ICICI Prulife Towers, 1089, Appasaheb Marathe Marg, Prabhadevi, Mumbai - 400 025","ICICI Prulife Towers, 1089, Appasaheb Marathe Marg, Prabhadevi, Mumbai - 400 025","ICICI Prulife Towers, 1089, Appasaheb Marathe Marg, Prabhadevi, Mumbai - 400 025"
IDBI Bank Limited,"IDBI Tower, WTC Complex, Cuffe Parade, Mumbai - 400005","IDBI Tower, WTC Complex, Cuffe Parade, Mumbai - 400005","IDBI Tower, WTC Complex, Cuffe Parade, Mumbai - 400005"
IDFC FIRST Bank Limited,"KRM Tower, 7th Floor, No. 1, Harrington Road, Chetpet, Chennai – 600 031, Tamil Nadu, India.","IDFC FIRST Bank Tower, The Square, C-61, G-Block, Bandra-Kurla Complex, Bandra (East), Mumbai – 400 051, Maharashtra, India.","IDFC FIRST Bank Tower, The Square, C-61, G-Block, Bandra-Kurla Complex, Bandra (East), Mumbai – 400 051, Maharashtra, India."
IFCI Limited,"IFCI Limited, IFCI Tower, 61 Nehru Place, New Delhi-110019","IFCI Limited, IFCI Tower, 61 Nehru Place, New Delhi-110019","IFCI Limited, IFCI Tower, 61 Nehru Place, New Delhi-110019"
IIFL Finance Limited,"IIFL House, Sun Infotech Park, Road No. 16V, Plot No. B-23, Thane Industrial Area, Wagle Estate, Thane – 400604","802, 8th Floor, Hubtown Solaris, N.S. Phadke Marg, Vijay Nagar, Andheri East, Mumbai - 400069","802, 8th Floor, Hubtown Solaris, N.S. Phadke Marg, Vijay Nagar, Andheri East, Mumbai - 400069"
Indegene Limited,"Aspen G4, 3rd Floor, Manyata Embassy Business Park Outer Ring Road, Nagavara, Bangalore, Karnataka, India – 560 045","Aspen G4, 3rd Floor, Manyata Embassy Business Park Outer Ring Road, Nagavara, Bangalore, Karnataka, India – 560 045","Aspen G4, 3rd Floor, Manyata Embassy Business Park Outer Ring Road, Nagavara, Bangalore, Karnataka, India – 560 045"
INDIAMART INTERMESH LIMITED,"1st Floor, 29-Daryaganj, Netaji Subash Marg, New Delhi- 110002","6th floor, Tower 2, Assotech Business Cresterra, Plot No.22, Sec 135, Noida - 201305, Uttar Pradesh","6th floor, Tower 2, Assotech Business Cresterra, Plot No.22, Sec 135, Noida - 201305, Uttar Pradesh"
Indian Bank,"66, Rajaji Salai, Chennai 600 001","254-260, Avvai Shanmugam Salai, Royapettah, Chennai – 600 014","254-260, Avvai Shanmugam Salai, Royapettah, Chennai – 600 014"
Indian Energy Exchange Limited,"1st Floor, Unit No.1.14(a), Avanta Business Centre Southern Park, D-2, District Centre, Saket New Delhi 110017, India","Plot No. C-001/A/1, 9th Floor, Max Towers Sector 16B, Noida, Gautam Buddha Nagar, Uttar Pradesh-201301,India","Plot No. C-001/A/1, 9th Floor, Max Towers Sector 16B, Noida, Gautam Buddha Nagar, Uttar Pradesh-201301,India"
Indian Oil Corporation Limited,"IndianOil Bhavan, G-9, Ali Yavar Jung Marg. Bandra (East), Mumbai-400051.","3079/3, Sadiq Nagar, J. B. Tito Marg, New Delhi-110049","3079/3, Sadiq Nagar, J. B. Tito Marg, New Delhi-110049"
INDIAN OVERSEAS BANK,"763, Anna Salai, Chennai-600002","763, Anna Salai, Chennai-600002","763, Anna Salai, Chennai-600002"
INDIAN RAILWAY FINANCE CORPORATION LIMITED,"UG Floor, East Tower, NBCC Place, Bhisham Pitamah Marg,
Pragati Vihar, Lodhi Road, New Delhi-110003","UG Floor, East Tower, NBCC Place, Bhisham Pitamah Marg,
Pragati Vihar, Lodhi Road, New Delhi-110003","UG Floor, East Tower, NBCC Place, Bhisham Pitamah Marg,
Pragati Vihar, Lodhi Road, New Delhi-110003"
Indian Renewable Energy Development Agency Limited,"Core 4A, 1st Floor India Habitat Centre, Lodhi Road, New Delhi, 110003","3rd Floor, August Kranti Bhawan, Bhikaji Cama Place, New Delhi – 110066","3rd Floor, August Kranti Bhawan, Bhikaji Cama Place, New Delhi – 110066"
IndusInd Bank Limited,"IndusInd Bank Limited, 2401, Gen Thimmayya Road, (Contonment), Pune, Maharashtra - 411001, India.","IndusInd Bank Limited, 8th floor, Tower 1, One World Centre, 841, Senapati Bapat Marg, Prabhadevi (W), Mumbai - 400013","IndusInd Bank Limited, 8th floor, Tower 1, One World Centre, 841, Senapati Bapat Marg, Prabhadevi (W), Mumbai - 400013"
Indus Towers Limited,"Building No. 10, Tower-A, 4th Floor, DLF Cyber City, Gurugram - 122002","Building No. 10, Tower-A, 4th Floor, DLF Cyber City, Gurugram - 122002","Building No. 10, Tower-A, 4th Floor, DLF Cyber City, Gurugram - 122002"
Infibeam Avenues Limited,"28th Floor, GIFT Two Building, Block No. 56, Road – 5C, Zone -5, GIFT CITY, Gandhinagar - 382050 Gujarat, India","28th Floor, GIFT Two Building, Block No. 56, Road – 5C, Zone -5, GIFT CITY, Gandhinagar - 382050 Gujarat, India","28th Floor, GIFT Two Building, Block No. 56, Road – 5C, Zone -5, GIFT CITY, Gandhinagar - 382050 Gujarat, India"
Infosys Limited,"Electronics City, Hosur Road, Bengaluru, Karnataka 560 100, India","Electronics City, Hosur Road, Bengaluru, Karnataka 560 100, India","Electronics City, Hosur Road, Bengaluru, Karnataka 560 100, India"
INOX India Limited,"9th Floor, KP Platina, Race Course, Vadodara - 390007","9th Floor, KP Platina, Race Course, Vadodara - 390007","9th Floor, KP Platina, Race Course, Vadodara - 390007"
Inox Wind Limited,"Plot No. 1, Khasra Nos. 264 to 267 Industrial Area, Village Basal, Una- 174303, Himachal Pradesh, India","INOXGFL Towers, Plot No.17 Sector 16A, Noida - 201301, Uttar Pradesh, India","INOXGFL Towers, Plot No.17 Sector 16A, Noida - 201301, Uttar Pradesh, India"
INTELLECT DESIGN ARENA LIMITED,"244, Anna Salai, Chennai – 600 006","Plot No. 3/G3, SIPCOT IT Park, Siruseri, Chennai – 600 130, India.","Plot No. 3/G3, SIPCOT IT Park, Siruseri, Chennai – 600 130, India."
InterGlobe Aviation Limited,"Upper Ground Floor, Thapar House, Gate No. 2, Western Wing, 124, Janpath, New Delhi - 110 001","Emaar Capital Tower-II, Sector-26, Sikander Ghosi, MG Road, Gurugram-122002, Haryana, India.","Emaar Capital Tower-II, Sector-26, Sikander Ghosi, MG Road, Gurugram-122002, Haryana, India."
Ion Exchange India Limited,"Ion House, Dr. E. Moses Road, Mahalaxmi, Mumbai-400011","Ion House, Dr. E. Moses Road, Mahalaxmi, Mumbai-400011","Ion House, Dr. E. Moses Road, Mahalaxmi, Mumbai-400011"
Ipca Laboratories Limited,"48, Kandivli Industrial Estate, Kandivli (West), Mumbai – 400 067, Maharashtra, India","125, Kandivli Industrial Estate, Kandivli (West), Mumbai – 400 067, Maharashtra, India","125, Kandivli Industrial Estate, Kandivli (West), Mumbai – 400 067, Maharashtra, India"
IRB Infrastructure Developers Limited,"1101, Hiranandani Knowledge Park, 11th Floor,
Technology Street, Hill Side Avenue,
Opp. Hiranandani Hospital,
Powai, Mumbai – 400 076","3rd Floor, IRB Complex,
Chandivali Farm, Chandivali Village,
Andheri (East), Mumbai – 400 072","3rd Floor, IRB Complex,
Chandivali Farm, Chandivali Village,
Andheri (East), Mumbai – 400 072"
Ircon International Limited,"C-4, District Centre, Saket, New Delhi - 110017","C-4, District Centre, Saket, New Delhi - 110017","C-4, District Centre, Saket, New Delhi - 110017"
ISGEC Heavy Engineering Limited,"Radaur Road, Yamuna Nagar-135001, Haryana","A-4, Sector-24, Noida, Uttar Pradesh 201301","A-4, Sector-24, Noida, Uttar Pradesh 201301"
ITC Limited,"Virginia House, 37 Jawaharlal Nehru Road, Kolkata 700 071","Virginia House, 37 Jawaharlal Nehru Road, Kolkata 700 071","Virginia House, 37 Jawaharlal Nehru Road, Kolkata 700 071"
JAIPRAKASH POWER VENTURES LIMITED,"Complex of Jaypee Nigrie Super Thermal Power Plant  Tehsil Sarai, Nigrie, Singrauli, Madhya Pradesh 486669","JA House -63, Basant Lok, Vasant Vihar, New Delhi-110057","JA House -63, Basant Lok, Vasant Vihar, New Delhi-110057"
JAI BALAJI INDUSTRIES LIMITED,"5, BENTINCK STREET, KOLKATA- 700001","5, BENTINCK STREET, KOLKATA- 700001","5, BENTINCK STREET, KOLKATA- 700001"
JBM Auto Limited,"Plot no. 133, Sector 24, Faridabad - 121005","Plot No. 9, Institutional Area, Sector-44, Gurugram- 122003, Haryana","Plot No. 9, Institutional Area, Sector-44, Gurugram- 122003, Haryana"
Jindal Saw Limited,"A-1, UPSIDC Industrial Area, Nandgaon Road, Kosi Kalan, Mathura, Uttar Pradesh-281403","Jindal Centre, 12, Bhikaiji Cama Place, New Delhi-110066","Jindal Centre, 12, Bhikaiji Cama Place, New Delhi-110066"
Jindal Stainless Limited,"O.P. Jindal Marg, Hisar, Haryana- 125005","Jindal Centre, 12, Bhikaiji Cama Place, New Delhi-110066","Jindal Centre, 12, Bhikaiji Cama Place, New Delhi-110066"
JINDAL STEEL  POWER LIMITED,"O.P. Jindal Marg Hisar-125005, Haryana","Jindal Centre, 12, Bhikaji Cama Place, New Delhi – 110 066","Jindal Centre, 12, Bhikaji Cama Place, New Delhi – 110 066"
Jio Financial Services Limited,"1st Floor, Building 4NA, Maker Maxity, Bandra Kurla Complex, Bandra (East), Mumbai, Maharashtra, India 400 051","1st Floor, Building 4NA, Maker Maxity, Bandra Kurla Complex, Bandra (East), Mumbai, Maharashtra, India 400 051","1st Floor, Building 4NA, Maker Maxity, Bandra Kurla Complex, Bandra (East), Mumbai, Maharashtra, India 400 051"
JK CEMENT LIMITED,"Kamla Tower, Kanpur – 208001, Uttar Pradesh, India","Prism Tower, Ninaniya Estate, Gwal Pahari, Gurugram - 122102, Haryana","Prism Tower, Ninaniya Estate, Gwal Pahari, Gurugram - 122102, Haryana"
JK LAKSHMI CEMENT LIMITED,"JAYAKAYPURAM BASANTGARH DISTT SIROHI, NA, Rajasthan, India, 307019","Nehru House,4, Bahadur Shah Zafar Marg, New Delhi, Delhi, India, 110002","Nehru House,4, Bahadur Shah Zafar Marg, New Delhi, Delhi, India, 110002"
JK Tyre  Industries Limited,"Jaykaygram, PO - Tyre Factory, Kankroli - 313 342 (Rajasthan)","3, Bahadur Shah Zafar Marg, New Delhi- 110 002","3, Bahadur Shah Zafar Marg, New Delhi- 110 002"
JM Financial Limited,"7th Floor, Cnergy, Appasaheb Marathe Marg, Prabhadevi, Mumbai 400 025","7th Floor, Cnergy, Appasaheb Marathe Marg, Prabhadevi, Mumbai 400 025","7th Floor, Cnergy, Appasaheb Marathe Marg, Prabhadevi, Mumbai 400 025"
JSW Energy Limited,"JSW Centre, Bandra Kurla Complex, Bandra (East), Mumbai - 400 051","JSW Centre, Bandra Kurla Complex, Bandra (East), Mumbai - 400 051","JSW Centre, Bandra Kurla Complex, Bandra (East), Mumbai - 400 051"
JSW Infrastructure Limited,"JSW Centre, Bandra Kurla Complex, Bandra East, Mumbai 400051","JSW Centre, Bandra Kurla Complex, Bandra East, Mumbai 400051","JSW Centre, Bandra Kurla Complex, Bandra East, Mumbai 400051"
JSW Steel Limited,"JSW Centre, Bandra Kurla Complex, Bandra East, Mumbai- 400051, Maharashtra, India","JSW Centre, Bandra Kurla Complex, Bandra East, Mumbai- 400051, Maharashtra, India","JSW Centre, Bandra Kurla Complex, Bandra East, Mumbai- 400051, Maharashtra, India"
Jubilant FoodWorks Limited,"Plot No. 1A, Sector 16-A, Gautam Buddha Nagar, 
Noida – 201301, U.P., India","15th Floor, Tower E, Skymark One, Plot No. H – 
10/A, Sector 98, Noida- 201301, U.P., India","15th Floor, Tower E, Skymark One, Plot No. H – 
10/A, Sector 98, Noida- 201301, U.P., India"
JUBILANT INGREVIA LIMITED,"Bhartiagram, Gajraula, District Amroha-244 223, Uttar Pradesh, India","Jubilant Ingrevia Limited, 1A, Sector 16A, Noida - 201 301, Uttar Pradesh, India","Jubilant Ingrevia Limited, 1A, Sector 16A, Noida - 201 301, Uttar Pradesh, India"
Jubilant Pharmova Limited,"Bhartiagram, Gajraula, District Amroha-244 223, Uttar Pradesh, India","1A, Sector 16A, Filmcity, Noida-201301, Uttar Pradesh","1A, Sector 16A, Filmcity, Noida-201301, Uttar Pradesh"
Juniper Hotels Limited,"Off Western Express Highway, Santacruz East, Mumbai 400 055, Maharashtra, India","Off Western Express Highway, Santacruz East, Mumbai 400 055, Maharashtra, India","Off Western Express Highway, Santacruz East, Mumbai 400 055, Maharashtra, India"
Jupiter Life Line Hospitals Limited,"1004, 360 Degree Business Park, 10th Floor, Maharana Pratap Chowk, LBS Marg Mulund (West), Mumbai - 400 080, Maharashtra, India","Jupiter Hospital, Eastern Express Highway, Thane (West), Mumbai - 400 601, Maharashtra, India","Jupiter Hospital, Eastern Express Highway, Thane (West), Mumbai - 400 601, Maharashtra, India"
Jupiter Wagons Limited,"48, Vandana Vihar, Narmada Road, Gorakhpur, Jabalpur, Madhya Pradesh 482001","4/2. Middleton Street, Kolkata – 700071","4/2. Middleton Street, Kolkata – 700071"
Just Dial Limited,"Palm Court, Building-M, 501/B, 5th Floor, New Link Road,
Beside Goregaon Sports Complex, Malad (West),
Mumbai – 400 064.","Palm Court, Building-M, 501/B, 5th Floor, New Link
Road, Beside Goregaon Sports Complex, Malad (West),
Mumbai – 400 064.","Palm Court, Building-M, 501/B, 5th Floor, New Link
Road, Beside Goregaon Sports Complex, Malad (West),
Mumbai – 400 064."
JYOTHY LABS LIMITED,"Ujala House', Ram Krishna Mandir Road, Kondivita, Andheri (East), Mumbai - 400 059","Ujala House', Ram Krishna Mandir Road, Kondivita, Andheri (East), Mumbai - 400 059","Ujala House', Ram Krishna Mandir Road, Kondivita, Andheri (East), Mumbai - 400 059"
JYOTI CNC AUTOMATION LIMITED,"G – 506, Lodhika GIDC, Vill: Metoda, Rajkot – 360 021","G – 506, Lodhika GIDC, Vill: Metoda, Rajkot – 360 021","G – 506, Lodhika GIDC, Vill: Metoda, Rajkot – 360 021"
Kajaria Ceramics Limited,"SF-11, Second Floor, JMD Regent Plaza, Mehrauli Gurgaon Road, Village Sikanderpur Ghosi, Gurgaon, Haryana- 122001","J-1/B-1 (Extn.), Mohan Co-operative Industrial Estate, Mathura Road, New Delhi – 110044","J-1/B-1 (Extn.), Mohan Co-operative Industrial Estate, Mathura Road, New Delhi – 110044"
Kalpataru Projects International Limited,"Plot No. 101, Part III, GIDC Estate, Sector 28, Gandhinagar – 382028, Gujarat, India","7th Floor, Kalpataru Synergy, Opp. Grand Hyatt, Vakola, Santacruz (E), Mumbai – 400055,India","7th Floor, Kalpataru Synergy, Opp. Grand Hyatt, Vakola, Santacruz (E), Mumbai – 400055,India"
Kalyan Jewellers India Limited,"Corporate Office, Tc-32/204/2 Sitaram Mill Road/ Premji Road, Punkunnam Thrissur Kl 680 002, India","Corporate Office, Tc-32/204/2 Sitaram Mill Road/ Premji Road, Punkunnam Thrissur Kl 680 002, India","Corporate Office, Tc-32/204/2 Sitaram Mill Road/ Premji Road, Punkunnam Thrissur Kl 680 002, India"
Kansai Nerolac Paints Limited,"28th Floor, A-Wing, Marathon Futurex, N. M. Joshi 
Marg, Lower Parel, Mumbai - 400 013, Maharashtra","28th Floor, A-Wing, Marathon Futurex, N. M. Joshi 
Marg, Lower Parel, Mumbai - 400 013, Maharashtra","28th Floor, A-Wing, Marathon Futurex, N. M. Joshi 
Marg, Lower Parel, Mumbai - 400 013, Maharashtra"
KARUR VYSYA BANK LIMITED,"No.20, Erode Road, Vadivel Nagar, 
L.N.S., Karur - 639002, Tamilnadu","No.20, Erode Road, Vadivel Nagar, 
L.N.S., Karur - 639002, Tamilnadu","No.20, Erode Road, Vadivel Nagar, 
L.N.S., Karur - 639002, Tamilnadu"
Kaynes Technology India Limited,"23-25, Belagola Food Industrial Estate, Metagalli P.O., Mysuru - 570016 Karnataka, INDIA","23-25, Belagola Food Industrial Estate, Metagalli P.O., Mysuru - 570016 Karnataka, INDIA","23-25, Belagola Food Industrial Estate, Metagalli P.O., Mysuru - 570016 Karnataka, INDIA"
KEC International Limited,"RPG House, 463, Dr. Annie Besant Road, Worli, Mumbai - 400030, India","RPG House, 463, Dr. Annie Besant Road, Worli, Mumbai - 400030, India","RPG House, 463, Dr. Annie Besant Road, Worli, Mumbai - 400030, India"
KEI INDUSTRIES LIMITED,"D-90, Okhla Industrial Area, Phase 1, New Delhi – 110020","D-90, Okhla Industrial Area, Phase 1, New Delhi – 110020","D-90, Okhla Industrial Area, Phase 1, New Delhi – 110020"
Keystone Realtors Limited,"702 Natraj, M. V. Road Junction, Western Express Highway, Andheri East, Mumbai 400069","702 Natraj, M. V. Road Junction, Western Express Highway, Andheri East, Mumbai 400069","702 Natraj, M. V. Road Junction, Western Express Highway, Andheri East, Mumbai 400069"
KFin Technologies Limited,"301, The Centrium, 3rd Floor, 57, Lal Bahadur Shastri Road, Nav Pada, Kurla (West), Mumbai – 400070, Maharashtra","Selenium, Tower B, Plot No- 31 & 32, Financial District, Nanakramguda, Serilingampally, Hyderabad, Rangareddi - 500032, Telangana, India","Selenium, Tower B, Plot No- 31 & 32, Financial District, Nanakramguda, Serilingampally, Hyderabad, Rangareddi - 500032, Telangana, India"
KIOCL Limited,"II Block, Koramangala, Bengaluru - 560034","II Block, Koramangala, Bengaluru - 560034","II Block, Koramangala, Bengaluru - 560034"
Kirloskar Brothers Limited,"“Yamuna”, Survey No. 98 / (3 to 7), Plot No. 3, Baner, Pune – 411045, Maharashtra, India","“Yamuna”, Survey No. 98 / (3 to 7), Plot No. 3, Baner, Pune – 411045, Maharashtra, India","“Yamuna”, Survey No. 98 / (3 to 7), Plot No. 3, Baner, Pune – 411045, Maharashtra, India"
Kirloskar Oil Engines Limited,"Laxmanrao Kirloskar Road, Khadki, Pune – 411003","One Avante, Karve Road, Kothrud, Pune - 411038","One Avante, Karve Road, Kothrud, Pune - 411038"
KNR Constructions Limited,"Plot No. 113 & 114, KNR House, 3rd and 4th Floor, Kavuri Hills, Phase I, Hyderabad, Telangana-500033","Plot No. 113 & 114, KNR House, 3rd and 4th Floor, Kavuri Hills, Phase I,Hyderabad, Telangana-500033","Plot No. 113 & 114, KNR House, 3rd and 4th Floor, Kavuri Hills, Phase I,Hyderabad, Telangana-500033"
KOTAK MAHINDRA BANK LIMITED,"27BKC, C-27, G-Block, Bandra Kurla Complex, Bandra East, Mumbai 400051","27BKC, C-27, G-Block, Bandra Kurla Complex, Bandra East, Mumbai 400051","27BKC, C-27, G-Block, Bandra Kurla Complex, Bandra East, Mumbai 400051"
KPIT Technologies Limited,"Plot No. 17, Rajiv Gandhi Infotech Park, MIDC-SEZ, Phase-III, Maan, Taluka - Mulshi, Hinjawadi, Pune-411057.","Plot No. 17, Rajiv Gandhi Infotech Park, MIDC-SEZ, Phase-III, Maan, Taluka - Mulshi, Hinjawadi, Pune-411057.","Plot No. 17, Rajiv Gandhi Infotech Park, MIDC-SEZ, Phase-III, Maan, Taluka - Mulshi, Hinjawadi, Pune-411057."
KPI GREEN ENERGY LIMITED,"KP House', Near KP Circle, Opp. Ishwar Farm Junction BRTS, Canal Road, Bhatar, Surat-395017. Gujarat, India","KP House', Near KP Circle, Opp. Ishwar Farm Junction BRTS, Canal Road, Bhatar, Surat-395017. Gujarat, India","KP House', Near KP Circle, Opp. Ishwar Farm Junction BRTS, Canal Road, Bhatar, Surat-395017. Gujarat, India"
KPR MILL LIMITED,"No.9, Gokul Buildings, 1st Floor, A.K.S. Nagar, Thadagam Road, Coimbatore - 641001. Tamil Nadu","1st Floor, Srivari Shrimat, 1045, Avinashi Road, Coimbatore - 641018, Tamil Nadu.","1st Floor, Srivari Shrimat, 1045, Avinashi Road, Coimbatore - 641018, Tamil Nadu."
Krishna Institute of Medical Sciences Limited,"D.NO.1-8-31/1, Minister Road, Secunderabad.
Telangana, India - 500003","D.NO.1-8-31/1, Minister Road, Secunderabad.
Telangana, India - 500003","D.NO.1-8-31/1, Minister Road, Secunderabad.
Telangana, India - 500003"
KSB Limited,"Office No. 601, Runwal R-Square, L.B.S. Marg, Mulund (West), Mumbai Mumbai City -
400080, Maharashtra, India.","KSB Limited, Mumbai -Pune Road, Pimpri Pune- 411018, Maharashtra, India.","KSB Limited, Mumbai -Pune Road, Pimpri Pune- 411018, Maharashtra, India."
Larsen  Toubro Limited,"L&T House, Ballard Estate, Mumbai - 400001, Maharashtra","L&T House, Ballard Estate, Mumbai - 400001, Maharashtra","L&T House, Ballard Estate, Mumbai - 400001, Maharashtra"
Latent View Analytics Limited,"5th Floor, Neville Tower, Unit 6,7 and 8, Ramanujan IT City, Rajiv Gandhi Salai, Taramani Chennai, Chennai, India 600113","5th Floor, Neville Tower, Unit 6,7 and 8, Ramanujan IT City, Rajiv Gandhi Salai, Taramani Chennai, Chennai, India 600113","5th Floor, Neville Tower, Unit 6,7 and 8, Ramanujan IT City, Rajiv Gandhi Salai, Taramani Chennai, Chennai, India 600113"
LAURUS LABS LIMITED,"Laurus Enclave, Plot Office 01, E. Bonangi Village, Parawada Mandal, Anakapalli District – 531 021, Andhra Pradesh, India.","2nd Floor, Serene Chambers, Road No. 7, Banjara Hills, Hyderabad – 500 034, Telangana, India.","2nd Floor, Serene Chambers, Road No. 7, Banjara Hills, Hyderabad – 500 034, Telangana, India."
