Tag,Frequency,Example_Value,Sample_Company
RemarksForAssuranceOfDetailsOfAnyCorrectiveActionTakenOrUnderwayToAddressSafetyRelatedIncidentsOfYourPlantsAndOfficesThatWereAssessed,3,"360 ONE has not carried out any assessments. However, the Organisation pays utmost attention to safety related concerns and constantly works on making appropriate enhancements.",360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfMeasuresUndertakenByTheEntityToEnsureThatStatutoryDuesHaveBeenDeductedAndDepositedByTheValueChainPartners,3,360 ONE ensures communication of expectations to all value chain partners on adherence to compliance requirements such as labour laws and human rights in their areas of business.,360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfNumberOfEmployeesOrWorkersHavingSufferedHighConsequenceWorkRelatedInjuryOrIllHealthOrFatalitiesWhoOrWhoseFamilyMembersAreRehabilitatedAndPlacedInSuitableEmployment,3,Nil,360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOnAssessmentOfValueChainPartnersP3,3,Nil,360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfAnyCorrectiveActionTakenOrUnderwayToAddressSafetyRelatedIncidentsOnAssessmentOfValueChainPartners,3,"360 ONE has not carried out any assessments. However, the Organisation works towards greater integration of health and safety practices throughout its value chain. At present no significant risks have",360 ONE WAM LIMITED
RemarksForAssuranceOfWhetherStakeholderConsultationIsUsedToSupportTheIdentificationAndManagementOfEnvironmentalAndSocialTopics,3,"Yes, 360 ONE embarked on its ESG journey by leveraging stakeholder engagements and materiality assessment to determine key material topics. 360 ONE conducted its first materiality assessment with inte",360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfInstancesOfEngagementWithAndActionsTakenToAddressTheConcernsOfVulnerableOrMarginalizedStakeholderGroups,3,"360 ONE believes that the community at large is a critical stakeholder. Therefore, inclusive growth and equitable development of communities are critical drivers for Corporate Social Responsibility (“",360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfAnyCorrectiveActionsTakenOrUnderwayToAddressSignificantRisksOrConcernsArisingFromTheAssessmentsOfPlantAndOffice,3,"In FY 2024-25, there were no issues identified in relation to above provided list and hence no corrective action was taken.",360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfABusinessProcessBeingModifiedOrIntroducedAsAResultOfAddressingHumanRightsGrievancesOrComplaints,3,No business processes were required to be modified or introduced as there were no instances of grievance or complaints registered.,360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfTheScopeAndCoverageOfAnyHumanRightsDueDiligenceConducted,3,"The Organisation endeavours to incorporate human rights requirements emanating from statutory requirements in its agreements with value chain partners. However, there are no human rights due diligence",360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfAnyCorrectiveActionsTakenOrUnderwayToAddressSignificantRisksOrConcernsArisingFromTheAssessmentsOfValueChainPartner,3,"Not Applicable, since there was no assessment conducted.",360 ONE WAM LIMITED
RemarksForAssuranceOfWhetherTheEntityHaveAnySitesOrFacilitiesIdentifiedAsDesignatedConsumersUnderThePerformanceAchieveAndTradeSchemeOfTheGovernmentOfIndia,3,Not Applicable,360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfOperationsOrOfficesInOrAroundEcologicallySensitiveAreasWhereEnvironmentalApprovalsOrClearancesAreRequired,3,360 ONE does not operate in any ecologically sensitive areas that require any form of environmental approval and clearances.,360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfEnvironmentalImpactAssessmentsOfProjectsUndertakenByTheEntityBasedOnApplicableLaws,3,Not Applicable,360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfTotalScope3EmissionsAndItsIntensity,3,"Currently the Organisation is not measuring its Scope 3 emission, and this can be undertaken in subsequent years.",360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfSignificantDirectAndIndirectImpactOfTheEntityOnBiodiversityInSuchAreasAlongWithPreventionAndRemediationActivities,3,"Since the Organisation does not operate in any ecologically sensitive areas, there is no impact on biodiversity.",360 ONE WAM LIMITED
RemarksForAssuranceOfGreenCreditsHaveBeenGeneratedOrProcuredByTheListedEntityAndTopTenValueChainPartnersIsAssuredByAssurer,3,Nil,360 ONE WAM LIMITED
RemarksForAssuranceOfTheEntityIsAMemberOfOrAffiliatedToTradeAndIndustryChambersOrAssociationsDeterminedBasedOnTheTotalMembersOfSuchBody,3,Six,360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfPublicPolicyPositionsAdvocatedByTheEntity,3,Nil,360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfSocialImpactAssessmentsOfProjectsUndertakenByTheEntityBasedOnApplicableLaws,3,"360 ONE’s operations do not involve any projects which require need for any Social Impact Assessments. However, from a Corporate Social Responsibility (“CSR”) standpoint, to ensure adherence to progra",360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfProjectsForWhichOngoingRehabilitationAndResettlementIsBeingUndertakenByEntity,3,Currently there are no projects for which Rehabilitation and resettlement has been undertaken.,360 ONE WAM LIMITED
RemarksForAssuranceOfDescribeTheMechanismsToReceiveAndRedressGrievancesOfTheCommunity,3,"360 ONE’s operations do not trigger any community related grievances and therefore the Organisation does not need this mechanism.

However, 360 ONE’S Corporate Social Responsibility programmes work as",360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfActionsTakenToMitigateAnyNegativeSocialImpactsIdentifiedInTheSocialImpactAssessments,3,360 ONE’s operations do not involve any projects which require need for any Social Impact Assessments.,360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfCSRProjectsUndertakenInDesignatedAspirationalDistrictsAsIdentifiedByGovernmentBodies,3,"The Organisation has been working on creating a long-term impact on the lives of communities it’s been associated with. 360 ONE with its CSR interventions, has been trying to reach out to the economic",360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfTheBenefitsDerivedAndSharedFromTheIntellectualPropertiesOwnedOrAcquired,3,Not Applicable,360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfCorrectiveActionsTakenOrUnderwayBasedOnAnyAdverseOrderInIntellectualPropertyRelatedDisputesWhereinUsageOfTraditionalKnowledgeIsInvolved,3,Not Applicable,360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfInstancesOfProductRecallsOnAccountOfSafetyIssues,3,360 ONE does not produce any products and hence this question is not applicable.,360 ONE WAM LIMITED
RemarksForAssuranceOfDetailsOfAnyCorrectiveActionsTakenOrUnderwayOnIssuesRelatingToAdvertisingAndDeliveryOfEssentialServicesOrCyberSecurityAndDataPrivacyOrRecallsOrPenaltyOrActionTakenByRegulatoryAuthoritiesOnSafetyOfProductsOrServices,3,"There have been no such corrective actions or underway on issues observed or notified by regulator from cyber security and data privacy perspective.

360 ONE has established a well-defined governance ",360 ONE WAM LIMITED
RemarksForAssuranceOfAddressOfRegisteredOfficeOfCompany,3,NA,Ajanta Pharma Limited
RemarksForAssuranceOfAddressOfCorporateOfficeOfCompany,3,NA,Ajanta Pharma Limited
RemarksForAssuranceOfWebsiteOfCompany,3,NA,Ajanta Pharma Limited
RemarksForAssuranceOfDetailsOfFinancialYearForWhichReportingIsBeingDone,3,NA,Ajanta Pharma Limited
RemarksForAssuranceOfDetailsOfTheStockExchangeWhereTheCompanyIsListed,3,NA,Ajanta Pharma Limited
RemarksForAssuranceOfNameAndContactDetailsOfTheContactPersonInCaseOfAnyQueriesOnTheBRSRReport,3,NA,Ajanta Pharma Limited
RemarksForAssuranceOfReportingBoundary,3,NA,Ajanta Pharma Limited
RemarksForAssuranceOfDetailsOfRetirementBenefits,3,NA,Ajanta Pharma Limited
RemarksForAssuranceOfThePremisesOrOfficesOfTheEntityAccessibleToDifferentlyAbledEmployeesAndWorkersAndStepsAreBeingTakenByTheEntityIfThePremisesOrOfficesOfTheEntityNotAccessible,3,NA,Ajanta Pharma Limited
RemarksForAssuranceOfDetailsOfPerformanceAndCareerDevelopmentReviewsOfEmployeesAndWorker,3,NA,Ajanta Pharma Limited
RemarksForAssuranceOfDetailsOfMinimumWagesPaidToEmployeesAndWorkers,3,NA,Ajanta Pharma Limited
RemarksForAssuranceOfAssessmentsOfYourPlantsAndOfficesThatWereAssessedForTheYearP5,3,NA,Ajanta Pharma Limited
RemarksForAssuranceOfDetailsOfBeneficiariesOfCSRProjects,3,NA,Ajanta Pharma Limited
RemarksForAssuranceOfDetailsOfTheHighestAuthorityResponsibleForImplementationAndOversightOfTheBusinessResponsibilityPolicy,2,NA,Ajanta Pharma Limited
RemarksForAssuranceOfListStakeholderGroupsIdentifiedAsKeyForYourEntityAndTheFrequencyOfEngagementWithEachStakeholderGroup,2,NA,Ajanta Pharma Limited
RemarksForAssuranceOfWhetherDoYouHaveAFocalPointResponsibleForAddressingHumanRightsImpactsOrIssuesCausedOrContributedToByTheBusiness,2,NA,Ajanta Pharma Limited
RemarksForAssuranceOfDetailsOfComplaintsMadeByEmployeesAndWorkersAsPerP5,2,NA,Ajanta Pharma Limited
RemarksForAssuranceOfWhetherThePremiseOrOfficeOfTheEntityAccessibleToDifferentlyAbledVisitorsAsPerTheRequirementsOfTheRightsOfPersonsWithDisabilitiesAct2016,2,NA,Ajanta Pharma Limited
RemarksForAssuranceOfDetailsOfCorrectiveActionTakenOrUnderwayOnAnyIssuesRelatedToAntiCompetitiveConductByTheEntityBasedOnAdverseOrdersFromRegulatoryAuthorities,2,NA,Ajanta Pharma Limited
DetailsIfTheEmployeesOrWorkerOfTheEntityHaveAccessToNonOccupationalMedicalAndHealthcareServicesIsNotApplicableExplanatoryTextBlock,2,Not Applicable,Canara Bank
ThePremisesOrOfficesOfTheEntityAccessibleToDifferentlyAbledEmployeesAndWorkersAreNotApplicableExplanatoryTextBlock,1,"The Company, as of now does not have differently abled employees. As and when required easy access facility will be provided to differently abled employees.",Chemplast Sanmar Limited
