Variant_Name,Master_DB_Name,Source,Match_Confidence,Notes
Spandana Sphoorty Financial,Spandana Sphoorty Financial,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
Star Cement Limited,Star Cement Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Star Health Insurance,Star Health and Allied Insurance Company Limited,C3.1_Renewable,HIGH,Core name match
Star Health and Allied Insurance,Star Health and Allied Insurance Company Limited,G2.1_Land_BRSR,HIGH,Core name match
Star Health and Allied Insurance Company Limited,Star Health and Allied Insurance Company Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Steel Authority of India Limited,Steel Authority of India Limited,Facility_Geocoding,HIGH,Exact V2 match
Sterling and Wilson,Sterling and Wilson Renewable Energy Limited,C3.1_Renewable,HIGH,Core name match
Sterling and Wilson Renewable,Sterling and Wilson Renewable Energy Limited,C3.1_Renewable,HIGH,Core name match
Sterling and Wilson Renewable Energy Limited,Sterling and Wilson Renewable Energy Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Sterlite Technologies (STL),Sterlite Technologies (STL),C3.1_Renewable,HIGH,Exact V2 match with brackets
Sudarshan Chemical,Sudarshan Chemical,C3.1_Renewable,HIGH,Exact V2 match (Short form)
Sun Pharma Advanced Research,Sun Pharma Advanced Research Company Limited,C3.1_Renewable,HIGH,Core name match
Sun Pharma Advanced Research Company (SPARC),Sun Pharma Advanced Research Company Limited,G2.1_Land_BRSR,HIGH,Includes abbreviation
Sun Pharma Advanced Research Company Limited,Sun Pharma Advanced Research Company Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Sun Pharmaceutical,Sun Pharmaceutical Industries Limited,C3.1_Renewable,HIGH,Core name match
Sun Pharmaceutical Industries Limited,Sun Pharmaceutical Industries Limited,C2.2_Missing_Env,HIGH,Exact V2 match
Sun TV Network,Sun TV Network Limited,C3.1_Renewable,HIGH,Core name match
Sun TV Network Limited,Sun TV Network Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Sundram Fasteners Limited,Sundram Fasteners Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Sunflag Iron and Steel,Sunflag Iron and Steel,G2.2_Land_AR,HIGH,Exact V2 match (Short form)
Sunteck Realty Limited,Sunteck Realty Limited,C3.1_Renewable,HIGH,Exact V2 match
Supreme Industries,Supreme Industries Limited,C3.1_Renewable,HIGH,Core name match
Supreme Industries Limited,Supreme Industries Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Suryoday Small Finance Bank,Suryoday Small Finance Bank,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
Swaraj Engines Limited,Swaraj Engines Limited,C3.1_Renewable,HIGH,Exact V2 match
Symphony Limited,Symphony Limited,C3.1_Renewable,HIGH,Exact V2 match
Syngene International,Syngene International Limited,C3.1_Renewable,HIGH,Core name match
Syngene International Limited,Syngene International Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Syrma SGS Technology,Syrma SGS Technology Limited,C3.1_Renewable,HIGH,Core name match
Syrma SGS Technology Limited,Syrma SGS Technology Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Tata Chemicals Limited,TATA CHEMICALS LIMITED,G2.1_Land_BRSR,HIGH,Case correction to V2 CAPS
TATA CHEMICALS LIMITED,TATA CHEMICALS LIMITED,C3.2_Water_Quality,HIGH,Exact V2 match
Tata Chemicals,TATA CHEMICALS LIMITED,G2.3B_MSA_Proxy,HIGH,Case correction to V2 CAPS
TATA COMMUNICATIONS,TATA COMMUNICATIONS LIMITED,G2.1_Land_BRSR,HIGH,Exact V2 match
TATA COMMUNICATIONS LIMITED,TATA COMMUNICATIONS LIMITED,G2.1_Land_BRSR,HIGH,Exact V2 match
Tata Communications,TATA COMMUNICATIONS LIMITED,C3.2_Water_Quality,HIGH,Case correction to V2 CAPS
TCS,Tata Consultancy Services Limited,C3.1_Renewable,HIGH,Case correction to V2 Title Case
Tata Consultancy Services Limited,Tata Consultancy Services Limited,C2.1_Scope3_Manual,HIGH,Exact V2 match
TATA Consultancy Services,Tata Consultancy Services Limited,C3.2_Water_Quality,HIGH,Case correction to V2 Title Case
Tata Consumer Products Limited,Tata Consumer Products Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Tata Consumer,Tata Consumer Products Limited,C3.2_Water_Quality,HIGH,Core name match
Tata Elxsi Limited,Tata Elxsi Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Tata Elxsi,Tata Elxsi Limited,C3.2_Water_Quality,HIGH,Core name match
Tata Investment Corp,Tata Investment Corporation Limited,G2.1_Land_BRSR,HIGH,Standard abbreviation
Tata Investment Corporation Limited,Tata Investment Corporation Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Tata Investment,Tata Investment Corporation Limited,C3.2_Water_Quality,HIGH,Core name match
Tata Motors Limited,Tata Motors Limited,C2.1_Scope3_Manual,HIGH,Exact V2 match
Tata Motors,Tata Motors Limited,C3.2_Water_Quality,HIGH,Core name match
Tata Power Company Limited,Tata Power,C2.1_Scope3_Manual,HIGH,Mapping to short V2 name
Tata Power,Tata Power,G2.2_Land_AR,HIGH,Exact V2 match
Tata Steel Limited,Tata Steel Limited,C2.1_Scope3_Manual,HIGH,Exact V2 match
Tata Steel,Tata Steel Limited,G2.2_Land_AR,HIGH,Core name match
Tata Technologies Limited,Tata Technologies Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Tata Technologies,Tata Technologies Limited,C3.2_Water_Quality,HIGH,Core name match
Tata Teleservices Maha,Tata Teleservices Maharashtra Limited,G2.1_Land_BRSR,HIGH,Standard abbreviation
Tata Teleservices Maharashtra Limited,Tata Teleservices Maharashtra Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Tata Teleservices,Tata Teleservices Maharashtra Limited,C3.2_Water_Quality,HIGH,Core name match
Tech Mahindra Limited,Tech Mahindra Limited,Facility_Geocoding,HIGH,Exact V2 match
Tech Mahindra,Tech Mahindra Limited,C3.1_Renewable,HIGH,Core name match
Tech Mahindra Ltd,Tech Mahindra Limited,C3.2_Water_Quality,HIGH,Standard abbreviation
Techno Electric & Engineering Company Limited,Techno Electric  Engineering Company Limited,G2.1_Land_BRSR,HIGH,Fixed double space per V2
Techno Electric & Eng,Techno Electric  Engineering Company Limited,G2.1_Land_BRSR,HIGH,Fixed double space per V2
Techno Electric,Techno Electric  Engineering Company Limited,C3.2_Water_Quality,HIGH,Fixed double space per V2
Tejas Networks Limited,Tejas Networks Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Tejas Networks,Tejas Networks Limited,C3.2_Water_Quality,HIGH,Core name match
THE NEW INDIA ASSURANCE,THE NEW INDIA ASSURANCE COMPANY LIMITED,G2.1_Land_BRSR,HIGH,Exact V2 match
THE NEW INDIA ASSURANCE COMPANY LIMITED,THE NEW INDIA ASSURANCE COMPANY LIMITED,G2.1_Land_BRSR,HIGH,Exact V2 match
THE PHOENIX MILLS LIMITED,THE PHOENIX MILLS LIMITED,G2.1_Land_BRSR,HIGH,Exact V2 match
Phoenix Mills,THE PHOENIX MILLS LIMITED,C3.2_Water_Quality,HIGH,Case correction to CAPS
The Ramco Cements Limited,The Ramco Cements Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Ramco Cements,The Ramco Cements Limited,C3.2_Water_Quality,HIGH,Core name match
Thermax Limited,Thermax Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Thermax,Thermax Limited,C3.2_Water_Quality,HIGH,Core name match
Thomas Cook India Limited,Thomas Cook  India  Limited,G2.1_Land_BRSR,HIGH,Fixed double spaces per V2
Thomas Cook India,Thomas Cook  India  Limited,C3.2_Water_Quality,HIGH,Fixed double spaces per V2
Timken India Limited,Timken India Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Timken,Timken India Limited,C3.2_Water_Quality,HIGH,Core name match
Tips Industries,Tips Industries,G2.1_Land_BRSR,HIGH,"Exact V2 match (No ""Limited"")"
Titan Company Limited,Titan Company Limited,Facility_Geocoding,HIGH,Exact V2 match
Titan Company,Titan Company Limited,G2.1_Land_BRSR,HIGH,Core name match
Titan,Titan Company Limited,C3.2_Water_Quality,HIGH,Core name match
Torrent Pharmaceuticals Limited,Torrent Pharmaceuticals Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Torrent Pharmaceuticals,Torrent Pharmaceuticals Limited,G2.1_Land_BRSR,HIGH,Core name match
Torrent Pharma,Torrent Pharmaceuticals Limited,C3.2_Water_Quality,HIGH,Industry abbreviation
Torrent Power Limited,Torrent Power Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Torrent Power,Torrent Power Limited,C3.2_Water_Quality,HIGH,Core name match
Trent Limited,Trent Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Trent Limited (Tata Retail),Trent Limited,G2.1_Land_BRSR,HIGH,Includes group label
Trent,Trent Limited,C3.2_Water_Quality,HIGH,Core name match
TRIDENT LIMITED,TRIDENT LIMITED,G2.1_Land_BRSR,HIGH,Exact V2 match
Trident Limited,TRIDENT LIMITED,C3.2_Water_Quality,HIGH,Case correction to CAPS
Triveni Engineering,Triveni Engineering  Industries Limited,G2.1_Land_BRSR,HIGH,Fixed double space per V2
Triveni Engineering & Industries Limited,Triveni Engineering  Industries Limited,G2.1_Land_BRSR,HIGH,Fixed double space per V2
Triveni Eng,Triveni Engineering  Industries Limited,C3.2_Water_Quality,HIGH,Fixed double space per V2
Triveni Turbine Limited,Triveni Turbine Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Triveni Turbine,Triveni Turbine Limited,C3.2_Water_Quality,HIGH,Core name match
Tube Investments of India Limited,Tube Investments of India Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
Tube Investments of India,Tube Investments of India Limited,G2.1_Land_BRSR,HIGH,Core name match
Tube Investments,Tube Investments of India Limited,C3.2_Water_Quality,HIGH,Core name match
TVS Motor Company Limited,TVS Motor Company Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
TVS Motor Company,TVS Motor Company Limited,G2.1_Land_BRSR,HIGH,Core name match
TVS Motor,TVS Motor Company Limited,C3.2_Water_Quality,HIGH,Core name match
TVS Supply Chain Solutions Limited,TVS Supply Chain Solutions Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
TVS Supply Chain Solutions,TVS Supply Chain Solutions Limited,G2.1_Land_BRSR,HIGH,Core name match
TVS Supply Chain,TVS Supply Chain Solutions Limited,C3.2_Water_Quality,HIGH,Core name match
UCO Bank,UCO Bank,G2.1_Land_BRSR,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
UNION BANK OF INDIA,UNION BANK OF INDIA,G2.1_Land_BRSR,HIGH,Exact V2 match
Union Bank of India,UNION BANK OF INDIA,C2.1_Scope3_Manual,HIGH,Case correction to CAPS
UNITED BREWERIES LIMITED,UNITED BREWERIES LIMITED,G2.1_Land_BRSR,HIGH,Exact V2 match
United Breweries,UNITED BREWERIES LIMITED,C3.2_Water_Quality,HIGH,Case correction to CAPS
United Spirits Limited,United Spirits Limited,G2.1_Land_BRSR,HIGH,Exact V2 match
United Spirits (Diageo),United Spirits Limited,G2.1_Land_BRSR,HIGH,Includes brand name
United Spirits,United Spirits Limited,C3.2_Water_Quality,HIGH,Core name match
UPL LIMITED,UPL LIMITED,G2.1_Land_BRSR,HIGH,Exact V2 match
UPL Limited,UPL LIMITED,C3.2_Water_Quality,HIGH,Case correction to CAPS
UTI Asset Management,UTI Asset Management Company Limited,C3.2_Water_Quality,HIGH,Exact V2 match
UTI Asset Mgmt,UTI Asset Management Company Limited,C3.2_Water_Quality,HIGH,Core name match
Uflex Limited,Uflex Limited,C3.2_Water_Quality,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
Ujjivan Small Finance Bank,Ujjivan Small Finance Bank Limited,C3.2_Water_Quality,HIGH,Exact V2 match
UltraTech Cement,UltraTech Cement Limited,C3.2_Water_Quality,HIGH,Core name match
Uno Minda Limited,Uno Minda Limited,C3.2_Water_Quality,HIGH,Exact V2 match
Usha Martin Ltd,Usha Martin Limited,C3.2_Water_Quality,HIGH,Standard abbreviation
V-GUARD INDUSTRIES,V-GUARD INDUSTRIES LIMITED,C3.2_Water_Quality,HIGH,Core name match
V-Guard Industries,V-GUARD INDUSTRIES LIMITED,C3.2_Water_Quality,HIGH,Case correction to CAPS per V2
VALOR ESTATE,VALOR ESTATE LIMITED,C3.2_Water_Quality,HIGH,Core name match
VRL Logistics Limited,VRL Logistics Limited,C3.2_Water_Quality,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
Vardhman Textiles,Vardhman Textiles,C3.2_Water_Quality,HIGH,"Exact V2 match (No ""Limited"")"
Varroc Engineering,Varroc Engineering Limited,C3.2_Water_Quality,HIGH,Core name match
Varun Beverages,Varun Beverages (PepsiCo franchise),C3.2_Water_Quality,HIGH,Mapping to exact V2 brand variant
Vedant Fashions Limited,Vedant Fashions Limited,C3.2_Water_Quality,HIGH,Exact match
Vedant Fashions Limited (Manyavar),Vedant Fashions Limited,C3.2_Water_Quality,HIGH,Includes brand name
Vedanta,Vedanta Limited,C3.2_Water_Quality,HIGH,Core name match
Vijaya Diagnostic Centre,Vijaya Diagnostic Centre Limited,C3.2_Water_Quality,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
Vinati Organics Limited,Vinati Organics Limited,C3.2_Water_Quality,HIGH,Exact match
Voltamp Transformers,Voltamp Transformers Limited,C3.2_Water_Quality,HIGH,Core name match
Voltas Limited,Voltas Limited,C3.2_Water_Quality,HIGH,Exact match
Waaree Renewable Technologies Limited,Waaree Renewable Technologies Limited,C3.2_Water_Quality,HIGH,Exact match
Welspun Corp Limited,Welspun Corp Limited,C3.2_Water_Quality,HIGH,Exact match
Welspun Living,Welspun Living Limited,C3.2_Water_Quality,HIGH,Core name match
Welspun Living Limited,Welspun Living Limited,C3.2_Water_Quality,HIGH,Exact match
West Coast Paper Mills,West Coast Paper Mills Limited,C3.2_Water_Quality,HIGH,Core name match
Whirlpool of India Limited,Whirlpool of India Limited,C3.2_Water_Quality,HIGH,Exact match
Wipro Limited,Wipro Limited,C3.2_Water_Quality,HIGH,Exact match
Wockhardt Limited,Wockhardt Limited,C3.2_Water_Quality,HIGH,Exact match
YES Bank Limited,YES Bank Limited,C3.2_Water_Quality,HIGH,Exact V2 match (Case specific)
ZENSAR TECHNOLOGIES LIMITED,ZENSAR TECHNOLOGIES LIMITED,C3.2_Water_Quality,HIGH,Exact V2 match
ZF Commercial Vehicle,ZF Commercial Vehicle Control Systems India Limited,C3.2_Water_Quality,HIGH,Core name match
Zee Entertainment,Zee Entertainment Enterprises Limited,C3.2_Water_Quality,HIGH,Core name match
Zen Technologies Limited,Zen Technologies Limited,C3.2_Water_Quality,HIGH,Exact match
Zydus Lifesciences,Zydus Lifesciences Limited,C3.2_Water_Quality,HIGH,Core name match
Zydus Wellness,Zydus Wellness Limited,C3.2_Water_Quality,HIGH,Core name match
eClerx Services Limited,eClerx Services Limited,C3.2_Water_Quality,HIGH,Exact V2 match (Case specific)
360 ONE WAM LIMITED,360 ONE WAM LIMITED,G2.3B_MSA_Proxy,HIGH,Exact match
AIA ENGINEERING LTD,AIA ENGINEERING LIMITED,G2.3B_MSA_Proxy,HIGH,Standard abbreviation
ALKYL AMINES CHEM,ALKYL AMINES CHEMICALS LIMITED,G2.3B_MSA_Proxy,HIGH,Case correction to CAPS
APAR Industries Ltd,APAR Industries Limited,G2.3B_MSA_Proxy,HIGH,Standard abbreviation
AU Small Finance Bank,AU Small Finance Bank Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Aavas Financiers Ltd,Aavas Financiers Limited,G2.3B_MSA_Proxy,HIGH,Standard abbreviation
Aditya Birla Sun Life,Aditya Birla Sun Life AMC Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Aegis Logistics Ltd,Aegis Logistics Limited,G2.3B_MSA_Proxy,HIGH,Standard abbreviation
Akzo Nobel India Ltd,Akzo Nobel India Limited,G2.3B_MSA_Proxy,HIGH,Standard abbreviation
Alok Industries,ALOK INDUSTRIES LIMITED,G2.3B_MSA_Proxy,HIGH,Case correction to CAPS per V2
Amara Raja Energy,Amara Raja Energy  Mobility Limited,G2.3B_MSA_Proxy,HIGH,Fixed V2 double space
Anupam Rasayan,Anupam Rasayan India Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Arvind Limited,ARVIND LIMITED,G2.3B_MSA_Proxy,HIGH,Case correction to CAPS per V2
Asahi India Glass,Asahi India Glass Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Ashok Leyland,Ashok Leyland Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Aster DM Health,Aster DM Healthcare Limited,G2.3B_MSA_Proxy,HIGH,Core name match
BLS International,BLS International Services Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Bajaj Finserv Ltd,Bajaj Finserv Limited,G2.3B_MSA_Proxy,HIGH,Standard abbreviation
Bajaj Holdings,Bajaj Holdings  Investment Limited,G2.3B_MSA_Proxy,HIGH,Fixed V2 double space
Balkrishna Ind,Balkrishna Industries Limited,G2.3B_MSA_Proxy,HIGH,Standard abbreviation
Bata India Limited,BATA INDIA LIMITED,G2.3B_MSA_Proxy,HIGH,Case correction to CAPS per V2
Bharat Electronics,BHARAT ELECTRONICS LIMITED,G2.3B_MSA_Proxy,HIGH,Case correction to CAPS per V2
Bharat Forge,Bharat Forge Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Bharti Airtel Ltd,Bharti Airtel Limited,G2.3B_MSA_Proxy,HIGH,Standard abbreviation
Bharti Hexacom Ltd,Bharti Hexacom Limited,G2.3B_MSA_Proxy,HIGH,Standard abbreviation
Bikaji Foods Int,Bikaji Foods International Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Britannia Industries,Britannia Industries Limited,G2.3B_MSA_Proxy,HIGH,Core name match
CCL Products India,CCL Products India Limited,G2.3B_MSA_Proxy,HIGH,Exact characters per V2
CERA Sanitaryware,CERA Sanitaryware Limited,G2.3B_MSA_Proxy,HIGH,Core name match
CG Power & Industrial,CG Power and Industrial Solutions Limited,G2.3B_MSA_Proxy,HIGH,Core name match
CITY UNION BANK LTD,CITY UNION BANK LIMITED,G2.3B_MSA_Proxy,HIGH,Case correction to V2 CAPS
COROMANDEL INT,COROMANDEL INTERNATIONAL LIMITED,G2.3B_MSA_Proxy,HIGH,Core name match
Can Fin Homes Ltd,Can Fin Homes Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Caplin Point Labs,Caplin Point Laboratories Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Carborundum Uni,Carborundum Universal Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Chemplast Sanmar,Chemplast Sanmar Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Cholamandalam Hold,Cholamandalam Financial Holdings Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Cholamandalam Invest,Cholamandalam Investment and Finance Company Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Clean Science & Tech,Clean Science and Technology Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Cochin Shipyard Ltd,Cochin Shipyard Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Computer Age Mgmt,Computer Age Management Services Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Concord Biotech Ltd,Concord Biotech Limited,G2.3B_MSA_Proxy,HIGH,Core name match
DCM Shriram,DCM Shriram Limited,G2.3B_MSA_Proxy,HIGH,Core name match
DOMS Industries Ltd,DOMS Industries Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Dabur India Ltd,Dabur India Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Deepak Nitrite Ltd,Deepak Nitrite Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Eicher Motors,EICHER MOTORS LIMITED,G2.3B_MSA_Proxy,HIGH,Case correction to V2 CAPS
Electronics Mart,Electronics Mart India Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Elgi Equipments Ltd,Elgi Equipments Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Endurance Tech,Endurance Technologies Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Engineers India Ltd,Engineers India Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Equitas Small Finance,Equitas Small Finance Bank Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Eris Lifesciences,Eris Lifesciences Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Escorts Kubota,Escorts Kubota Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Exide Industries,Exide Industries Limited,G2.3B_MSA_Proxy,HIGH,Core name match
FINE ORGANIC IND,FINE ORGANIC INDUSTRIES LIMITED,G2.3B_MSA_Proxy,HIGH,Case correction to V2 CAPS
Finolex Cables Ltd,Finolex Cables Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Five-Star Business,Five-Star Business Finance Limited,G2.3B_MSA_Proxy,HIGH,Core name match
G R Infraprojects,G R Infraprojects Limited,G2.3B_MSA_Proxy,HIGH,Core name match
GLOBAL HEALTH LTD,GLOBAL HEALTH LIMITED,G2.3B_MSA_Proxy,HIGH,Case correction to V2 CAPS
GODFREY PHILLIPS,GODFREY PHILLIPS INDIA LIMITED,G2.3B_MSA_Proxy,HIGH,Case correction to V2 CAPS
GRANULES INDIA LTD,GRANULES INDIA LIMITED,G2.3B_MSA_Proxy,HIGH,Case correction to V2 CAPS
GRAPHITE INDIA LTD,GRAPHITE INDIA LIMITED,G2.3B_MSA_Proxy,HIGH,Case correction to V2 CAPS
GSK Pharma,GlaxoSmithKline Pharmaceuticals Limited,G2.3B_MSA_Proxy,HIGH,Industry abbreviation
GSPL,Gujarat State Petronet Limited,G2.3B_MSA_Proxy,HIGH,Standard abbreviation
GVK Mumbai Airport,"Adani Airports (Mumbai, Ahmedabad, 6 others)",G2.3B_MSA_Proxy,HIGH,Subsidiary to Parent mapping
Garden Reach Ship,Garden Reach Shipbuilders  Engineers Limited,G2.3B_MSA_Proxy,HIGH,Double space per V2
Genus Power Infra,Genus Power Infrastructures Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Gillette India Ltd,Gillette India Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Glenmark Pharma,Glenmark Pharmaceuticals Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Go Digit Insurance,Go Digit General Insurance Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Godrej Consumer,Godrej Consumer Products Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Godrej Industries,Godrej Industries Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Grindwell Norton Ltd,Grindwell Norton Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Gujarat Ambuja Exp,Gujarat Ambuja Exports Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Gujarat Fluorochem,Gujarat Fluorochemicals Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Gujarat Gas Limited,GUJARAT GAS LIMITED,G2.3B_MSA_Proxy,HIGH,Case correction to V2 CAPS
HDFC Asset Mgmt,HDFC Asset Management Company Limited,G2.3B_MSA_Proxy,HIGH,Core name match
HDFC Life Insurance,HDFC Life Insurance Company Limited,G2.3B_MSA_Proxy,HIGH,Core name match
HONEYWELL AUTO,HONEYWELL AUTOMATION INDIA LIMITED,G2.3B_MSA_Proxy,HIGH,Case correction to V2 CAPS
Happiest Minds Tech,Happiest Minds Technologies Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Happy Forgings Ltd,Happy Forgings Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Hindustan Unilever,Hindustan Unilever Limited,G2.3B_MSA_Proxy,HIGH,Exact characters per V2
Hitachi Energy India,Hitachi Energy India Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Honasa Consumer Ltd,Honasa Consumer Limited,G2.3B_MSA_Proxy,HIGH,Standard abbreviation
ICICI Lombard,ICICI Lombard General Insurance Company Limited,G2.3B_MSA_Proxy,HIGH,Core name match
ICICI Prudential,ICICI Prudential Life Insurance Company Limited,G2.3B_MSA_Proxy,HIGH,Core name match
IDBI Bank Limited,IDBI Bank Limited,G2.3B_MSA_Proxy,HIGH,Exact match
IDFC FIRST Bank Ltd,IDFC FIRST Bank Limited,G2.3B_MSA_Proxy,HIGH,Standard abbreviation
INDIAN RAILWAY FIN,INDIAN RAILWAY FINANCE CORPORATION LIMITED,G2.3B_MSA_Proxy,HIGH,Case correction to V2 CAPS
INTELLECT DESIGN,INTELLECT DESIGN ARENA LIMITED,G2.3B_MSA_Proxy,HIGH,Case correction to V2 CAPS
ISGEC Heavy Eng,ISGEC Heavy Engineering Limited,G2.3B_MSA_Proxy,HIGH,Standard abbreviation
Indian Energy Exch,Indian Energy Exchange Limited,G2.3B_MSA_Proxy,HIGH,Standard abbreviation
IndusInd Bank Limited,IndusInd Bank Limited,G2.3B_MSA_Proxy,HIGH,Exact match
Infibeam Avenues Ltd,Infibeam Avenues Limited,G2.3B_MSA_Proxy,HIGH,Standard abbreviation
InterGlobe (IndiGo),InterGlobe Aviation Limited,G2.3B_MSA_Proxy,HIGH,Includes brand name
Ion Exchange India,Ion Exchange India Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Ipca Laboratories,Ipca Laboratories Limited,G2.3B_MSA_Proxy,HIGH,Exact V2 case match
Ircon International,Ircon International Limited,G2.3B_MSA_Proxy,HIGH,Exact V2 case match
JBM Auto Limited,JBM Auto Limited,G2.3B_MSA_Proxy,HIGH,Exact match
JK Tyre & Ind,JK Tyre & Industries Limited,G2.3B_MSA_Proxy,HIGH,Standard abbreviation
JM Financial Limited,JM Financial Limited,G2.3B_MSA_Proxy,HIGH,Exact match
JYOTHY LABS LIMITED,JYOTHY LABS LIMITED,G2.3B_MSA_Proxy,HIGH,Exact match
JYOTI CNC AUTO,JYOTI CNC AUTOMATION LIMITED,G2.3B_MSA_Proxy,HIGH,Standard abbreviation
Jio Financial Serv,Jio Financial Services Limited,G2.3B_MSA_Proxy,HIGH,Standard abbreviation
Jubilant Pharmova,Jubilant Pharmova Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Juniper Hotels Limited,Juniper Hotels Limited,G2.3B_MSA_Proxy,HIGH,Exact match
Jupiter Life Line,Jupiter Life Line Hospitals Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Jupiter Wagons Ltd,Jupiter Wagons Limited,G2.3B_MSA_Proxy,HIGH,Standard abbreviation
Just Dial Limited,Just Dial Limited,G2.3B_MSA_Proxy,HIGH,Exact match
KEC International Ltd,KEC International Limited,G2.3B_MSA_Proxy,HIGH,Standard abbreviation
KEI INDUSTRIES LTD,KEI INDUSTRIES LIMITED,G2.3B_MSA_Proxy,HIGH,Standard abbreviation
KNR Constructions,KNR Constructions Limited,G2.3B_MSA_Proxy,HIGH,Core name match
KPR MILL LIMITED,KPR MILL LIMITED,G2.3B_MSA_Proxy,HIGH,Exact match
Kaynes Technology,Kaynes Technology India Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Kirloskar Brothers,Kirloskar Brothers Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Krishna Institute,Krishna Institute of Medical Sciences Limited,G2.3B_MSA_Proxy,HIGH,Core name match
Laurus Labs Ltd,LAURUS LABS LIMITED,G2.3B_MSA_Proxy,HIGH,Standard abbreviation
Life Insurance Corp,Life Insurance Corporation of India,G2.3B_MSA_Proxy,HIGH,Standard abbreviation
MAX HEALTHCARE,MAX HEALTHCARE INSTITUTE LIMITED,G2.3B_MSA_Proxy,HIGH,Case correction to V2 CAPS
Macrotech Developers,MACROTECH DEVELOPERS LIMITED,G2.3B_MSA_Proxy,HIGH,Core name match
Mahanagar Gas,Mahanagar Gas Limited,G2.3B_MSA_Proxy,HIGH,Core name match
